simple_id,param_id,smirks,equilibrium_value
a130,specificity=3 index=97 count=144,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r5:2]~;@[!#1;r5:3],N/A
a131,specificity=3 index=98 count=106,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r6:2]~;@[!#1;r6:3],N/A
a132,specificity=3 index=99 count=106,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r5:2]~;@[!#1;r5:3],N/A
a133,specificity=3 index=100 count=98,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;r5:2]~;@[!#1;r5:3],N/A
a134,specificity=3 index=101 count=85,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r4:2]~;@[!#1;r4:3],N/A
a135,specificity=3 index=102 count=81,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r7:2]~;@[!#1;r7:3],N/A
a136,specificity=3 index=103 count=80,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r6:2]~;@[!#1;r6:3],N/A
a137,specificity=3 index=104 count=76,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;r6:2]~;@[!#1;r6:3],N/A
a138,specificity=3 index=105 count=64,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#15X4;r6:2]~;@[!#1;r6:3],N/A
a139,specificity=3 index=106 count=59,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r7:2]~;@[!#1;r7:3],N/A
a140,specificity=3 index=107 count=58,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r3:2]~;@[!#1;r3:3],N/A
a141,specificity=3 index=108 count=55,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r6:2]~;@[!#1;r5:3],N/A
a142,specificity=3 index=109 count=55,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#15X4;r5:2]~;@[!#1;r5:3],N/A
a143,specificity=3 index=110 count=51,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X4;r6:2]~;@[!#1;r5:3],N/A
a144,specificity=3 index=111 count=46,[!#1;r5:1]~;@[#6X3;r5:2]~[!#1;r7:3],N/A
a145,specificity=3 index=112 count=46,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r7:2]~;@[!#1;r6:3],N/A
a146,specificity=3 index=113 count=44,[!#1;r6:1]~;@[#6X3;r6:2]~[!#1;r6:3],N/A
a147,specificity=3 index=114 count=43,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;r7:2]~;@[!#1;r7:3],N/A
a148,specificity=3 index=115 count=40,[!#1;r5:1]~;@[#6X4;r5:2]~[!#1;r6:3],N/A
a149,specificity=3 index=116 count=37,[!#1;r5:1]~[#6X3;r6:2]~;@[!#1;r6:3],N/A
a150,specificity=3 index=117 count=37,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r4:2]~;@[!#1;r4:3],N/A
a151,specificity=3 index=118 count=36,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r7:2]~;@[!#1;r5:3],N/A
a152,specificity=3 index=119 count=36,[!#1;r6:1]~;@[#7X3;r6:2]~[!#1;r6:3],N/A
a153,specificity=3 index=120 count=35,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#7X3;r4:2]~;@[!#1;r4:3],N/A
a154,specificity=3 index=121 count=34,[!#1;r6:1]~;@[#6X4;r6:2]~[!#1;r6:3],N/A
a155,specificity=3 index=122 count=33,[!#1;r5:1]~;@[#7X3;r5:2]~[!#1;r5:3],N/A
a156,specificity=3 index=123 count=32,[!#1;r6:1]~[#6X4;r7:2]~;@[!#1;r7:3],N/A
a157,specificity=3 index=124 count=32,[!#1;r5:1]~;@[#6X4;r5:2]~[!#1;r5:3],N/A
a158,specificity=3 index=125 count=31,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r8:2]~;@[!#1;r8:3],N/A
a159,specificity=3 index=126 count=30,[!#1;r6:1]~[#6X3;r7:2]~;@[!#1;r7:3],N/A
a160,specificity=3 index=127 count=28,[!#1;r5:1]~;@[#6X4;r4:2]~[#1;!r3;!r4;!r5;!r6;!r7;!r8:3],N/A
a161,specificity=3 index=128 count=28,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#15X4;r7:2]~;@[!#1;r7:3],N/A
a162,specificity=3 index=129 count=28,[!#1;r5:1]~[#6X4;r7:2]~;@[!#1;r7:3],N/A
a163,specificity=3 index=130 count=28,[!#1;r5:1]~;@[#6X4;r6:2]~[!#1;r5:3],N/A
a164,specificity=3 index=131 count=28,[!#1;!r3;!r4;!r5;!r6;!r7;!r8:1]~[#6X3;r3:2]~;@[!#1;r3:3],N/A
